zipcode,zone,trange,zonetitle,last_spring_frost,first_fall_frost,growing_season
29113,8b,15 to 20,8b: 15 to 20,Mar 26,Nov 6,224 days
29114,8b,15 to 20,8b: 15 to 20,Apr 3,Nov 2,212 days
29115,8b,15 to 20,8b: 15 to 20,Mar 22,Nov 9,231 days
29116,8b,15 to 20,8b: 15 to 20,Mar 23,Nov 11,232 days
29118,8b,15 to 20,8b: 15 to 20,Mar 22,Nov 9,231 days
29122,8a,10 to 15,8a: 10 to 15,Mar 29,Nov 5,220 days
29123,8a,10 to 15,8a: 10 to 15,Apr 3,Oct 31,210 days
29125,8b,15 to 20,8b: 15 to 20,Mar 29,Nov 5,220 days
29126,8a,10 to 15,8a: 10 to 15,Mar 29,Nov 5,220 days
29127,8a,10 to 15,8a: 10 to 15,Mar 29,Nov 5,220 days
29128,8b,15 to 20,8b: 15 to 20,Mar 29,Nov 5,220 days
29129,8a,10 to 15,8a: 10 to 15,Apr 2,Nov 2,213 days
29130,8a,10 to 15,8a: 10 to 15,Mar 30,Nov 8,222 days
29132,8a,10 to 15,8a: 10 to 15,Apr 6,Nov 1,208 days
29133,8b,15 to 20,8b: 15 to 20,Mar 23,Nov 11,232 days
29135,8b,15 to 20,8b: 15 to 20,Mar 22,Nov 9,231 days
29137,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 3,215 days
29138,8a,10 to 15,8a: 10 to 15,Apr 5,Oct 30,207 days
